 2040101 hu02040101.dly  41.96  -75.36
 2040102 hu02040102.dly  42.07  -74.82
 2040103 hu02040103.dly  41.50  -75.30
 2040104 hu02040104.dly  41.39  -74.90
 2040105 hu02040105.dly  40.65  -75.11
 2040106 hu02040106.dly  40.87  -75.60
 2040201 hu02040201.dly  40.17  -74.85
 2040202 hu02040202.dly  39.92  -75.04
 2040203 hu02040203.dly  40.39  -75.77
 2040204 hu02040204.dly  39.11  -75.20
 2040205 hu02040205.dly  39.80  -75.71
 2040206 hu02040206.dly  39.44  -75.17
 2040207 hu02040207.dly  39.04  -75.47
 2040301 hu02040301.dly  39.77  -74.29
 2040302 hu02040302.dly  39.36  -74.70
 2040303 hu02040303.dly  37.94  -75.37
 2040304 hu02040304.dly  37.40  -75.75
 2050101 hu02050101.dly  42.44  -75.25
 2050102 hu02050102.dly  42.58  -75.81
 2050103 hu02050103.dly  42.17  -76.29
 2050104 hu02050104.dly  42.02  -77.37
 2050105 hu02050105.dly  42.23  -77.06
 2050106 hu02050106.dly  41.68  -76.17
 2050107 hu02050107.dly  41.18  -76.10
 2050201 hu02050201.dly  40.91  -78.42
 2050202 hu02050202.dly  41.44  -78.25
 2050203 hu02050203.dly  41.37  -77.68
 2050204 hu02050204.dly  40.98  -77.73
 2050205 hu02050205.dly  41.61  -77.45
 2050206 hu02050206.dly  41.28  -76.85
 2050301 hu02050301.dly  40.74  -76.93
 2050302 hu02050302.dly  40.55  -78.19
 2050303 hu02050303.dly  40.12  -78.40
 2050304 hu02050304.dly  40.44  -77.62
 2050305 hu02050305.dly  40.28  -76.98
 2050306 hu02050306.dly  39.94  -76.49
 2060001 hu02060001.dly  38.54  -76.42
 2060002 hu02060002.dly  39.26  -76.01
 2060003 hu02060003.dly  39.43  -76.63
 2060004 hu02060004.dly  38.84  -76.54
 2060005 hu02060005.dly  38.77  -75.99
 2060006 hu02060006.dly  38.85  -76.76
 2060007 hu02060007.dly  38.21  -75.93
 2060008 hu02060008.dly  38.62  -75.65
 2060009 hu02060009.dly  38.22  -75.55
 2060010 hu02060010.dly  38.43  -75.18
 2070001 hu02070001.dly  38.86  -79.21
 2070002 hu02070002.dly  39.51  -78.97
 2070003 hu02070003.dly  39.37  -78.56
 2070004 hu02070004.dly  39.63  -77.94
 2070005 hu02070005.dly  38.32  -78.80
 2070006 hu02070006.dly  38.79  -78.67
 2070007 hu02070007.dly  39.11  -77.99
 2070008 hu02070008.dly  39.12  -77.54
 2070009 hu02070009.dly  39.59  -77.27
 2070010 hu02070010.dly  38.81  -77.30
 2070011 hu02070011.dly  38.33  -76.91
 2080101 hu02080101.dly  37.42  -76.13
 2080102 hu02080102.dly  37.47  -76.39
 2080103 hu02080103.dly  38.50  -78.06
 2080104 hu02080104.dly  37.98  -76.92
 2080105 hu02080105.dly  37.96  -77.30
 2080106 hu02080106.dly  37.89  -77.65
 2080107 hu02080107.dly  37.38  -76.64
 2080108 hu02080108.dly  37.08  -76.30
 2080110 hu02080110.dly  37.91  -75.95
 2080111 hu02080111.dly  37.74  -75.79
 2080201 hu02080201.dly  37.82  -79.88
 2080202 hu02080202.dly  37.93  -79.41
 2080203 hu02080203.dly  37.65  -78.87
 2080204 hu02080204.dly  38.07  -78.48
 2080205 hu02080205.dly  37.62  -78.04
 2080206 hu02080206.dly  37.32  -77.03
 2080207 hu02080207.dly  37.31  -78.06
 2080208 hu02080208.dly  36.82  -76.45
 3010101 hu03010101.dly  37.16  -79.76
 3010102 hu03010102.dly  36.89  -78.74
 3010103 hu03010103.dly  36.56  -80.00
 3010104 hu03010104.dly  36.51  -79.13
 3010105 hu03010105.dly  36.84  -79.21
 3010106 hu03010106.dly  36.58  -78.10
 3010107 hu03010107.dly  36.06  -77.16
 3010201 hu03010201.dly  36.93  -77.55
 3010202 hu03010202.dly  36.96  -76.97
 3010203 hu03010203.dly  36.34  -76.81
 3010204 hu03010204.dly  36.66  -77.70
 3010205 hu03010205.dly  36.12  -76.09
 3020101 hu03020101.dly  36.11  -78.22
 3020102 hu03020102.dly  36.24  -77.84
 3020103 hu03020103.dly  35.74  -77.41
 3020104 hu03020104.dly  35.51  -76.68
 3020105 hu03020105.dly  35.27  -76.03
 3020201 hu03020201.dly  35.77  -78.57
 3020202 hu03020202.dly  35.30  -77.46
 3020203 hu03020203.dly  35.61  -77.86
 3020204 hu03020204.dly  35.04  -76.90
 3020301 hu03020301.dly  34.75  -76.91
 3020302 hu03020302.dly  34.42  -77.55
 3030002 hu03030002.dly  36.01  -79.41
 3030003 hu03030003.dly  35.64  -79.57
 3030004 hu03030004.dly  35.27  -79.02
 3030005 hu03030005.dly  34.37  -78.32
 3030006 hu03030006.dly  34.91  -78.38
 3030007 hu03030007.dly  34.75  -77.88
 3040101 hu03040101.dly  36.22  -80.80
 3040102 hu03040102.dly  35.88  -80.83
 3040103 hu03040103.dly  35.69  -80.17
 3040104 hu03040104.dly  35.20  -79.98
 3040105 hu03040105.dly  35.24  -80.48
 3040201 hu03040201.dly  34.53  -79.83
 3040202 hu03040202.dly  34.24  -80.12
 3040203 hu03040203.dly  34.70  -79.14
 3040204 hu03040204.dly  34.35  -79.31
 3040205 hu03040205.dly  33.78  -79.96
 3040206 hu03040206.dly  34.09  -78.72
 3040207 hu03040207.dly  33.49  -79.19
 3040208 hu03040208.dly  33.81  -78.67
 3050101 hu03050101.dly  35.84  -81.24
 3050102 hu03050102.dly  35.52  -81.34
 3050103 hu03050103.dly  34.87  -80.91
