                        Bioc   Bioc   PrePlt   Bioc   Bioc
R BELD4 name      Num    Type# Equip#   Days    App   Rate
 5Cotton_ir         37    186    800      4      1  5000.00
 5Oats              38    186    800      4      1  5000.00
 5Oats_ir           39    186    800      4      1  5000.00
 5Peanuts           40    186    800      4      1  5000.00
 5Peanuts_i         41    186    800      4      1  5000.00
 5Potatoes          42    186    800      4      1  5000.00
 5Potatoes_         43    186    800      4      1  5000.00
 5Rice              44    186    800      4      1  5000.00
 5Rice_ir           45    186    800      4      1  5000.00
 5Rye               46    186    800      4      1  5000.00
 5Rye_ir            47    186    800      4      1  5000.00
 5SorghumGr         48    186    800      4      1  5000.00
 5SorghumGrr        49    186    800      4      1  5000.00
 5SorghumSi         50    186    800      4      1  5000.00
 5SorghumSiir       51    186    800      4      1  5000.00
 5Soybeans          52    186    800      4      1  5000.00
 5Soybeans_         53    186    800      4      1  5000.00
 5Wheat_Spr         54    186    800      4      1  5000.00
 5Wheat_Sprr        55    186    800      4      1  5000.00
 5Wheat_Win         56    186    800      4      1  5000.00
 5Wheat_Winr        57    186    800      4      1  5000.00
 5Other_Cro         58    186    800      4      1  5000.00
 5Other_Cro         59    186    800      4      1  5000.00
 5Canola            60    186    800      4      1  5000.00
 5Canola_ir         61    186    800      4      1  5000.00
 5Peas              62    186    800      4      1  5000.00
 5Peas_ir           63    186    800      4      1  5000.00
 6Hay               22    186    800      4      1  5000.00
 6Hay_ir            23    186    800      4      1  5000.00
 6Alfalfa           24    186    800      4      1  5000.00
 6Alfalfa_i         25    186    800      4      1  5000.00
 6Other_gra         26    186    800      4      1  5000.00
 6Other_gra         27    186    800      4      1  5000.00
 6Barley            28    186    800      4      1  5000.00
 6Barley_ir         29    186    800      4      1  5000.00
 6BeansEdib         30    186    800      4      1  5000.00
 6BeansEdib         31    186    800      4      1  5000.00
 6CornGrain         32    186    800      4      1  5000.00
 6CornGrain         33    186    800      4      1  5000.00
 6CornSilag         34    186    800      4      1  5000.00
 6CornSilag         35    186    800      4      1  5000.00
 6Cotton            36    186    800      4      1  5000.00
 6Cotton_ir         37    186    800      4      1  5000.00
 6Oats              38    186    800      4      1  5000.00
 6Oats_ir           39    186    800      4      1  5000.00
 6Peanuts           40    186    800      4      1  5000.00
 6Peanuts_i         41    186    800      4      1  5000.00
 6Potatoes          42    186    800      4      1  5000.00
 6Potatoes_         43    186    800      4      1  5000.00
 6Rice              44    186    800      4      1  5000.00
 6Rice_ir           45    186    800      4      1  5000.00
 6Rye               46    186    800      4      1  5000.00
 6Rye_ir            47    186    800      4      1  5000.00
 6SorghumGr         48    186    800      4      1  5000.00
 6SorghumGrr        49    186    800      4      1  5000.00
 6SorghumSi         50    186    800      4      1  5000.00
 6SorghumSiir       51    186    800      4      1  5000.00
 6Soybeans          52    186    800      4      1  5000.00
 6Soybeans_         53    186    800      4      1  5000.00
 6Wheat_Spr         54    186    800      4      1  5000.00
 6Wheat_Sprr        55    186    800      4      1  5000.00
 6Wheat_Win         56    186    800      4      1  5000.00
 6Wheat_Winr        57    186    800      4      1  5000.00
 6Other_Cro         58    186    800      4      1  5000.00
 6Other_Cro         59    186    800      4      1  5000.00
 6Canola            60    186    800      4      1  5000.00
 6Canola_ir         61    186    800      4      1  5000.00
 6Peas              62    186    800      4      1  5000.00
 6Peas_ir           63    186    800      4      1  5000.00
 7Hay               22    186    800      4      1  5000.00
 7Hay_ir            23    186    800      4      1  5000.00
 7Alfalfa           24    186    800      4      1  5000.00
 7Alfalfa_i         25    186    800      4      1  5000.00
 7Other_gra         26    186    800      4      1  5000.00
 7Other_gra         27    186    800      4      1  5000.00
 7Barley            28    186    800      4      1  5000.00
 7Barley_ir         29    186    800      4      1  5000.00
 7BeansEdib         30    186    800      4      1  5000.00
 7BeansEdib         31    186    800      4      1  5000.00
 7CornGrain         32    186    800      4      1  5000.00
 7CornGrain         33    186    800      4      1  5000.00
 7CornSilag         34    186    800      4      1  5000.00
 7CornSilag         35    186    800      4      1  5000.00
 7Cotton            36    186    800      4      1  5000.00
 7Cotton_ir         37    186    800      4      1  5000.00
 7Oats              38    186    800      4      1  5000.00
 7Oats_ir           39    186    800      4      1  5000.00
 7Peanuts           40    186    800      4      1  5000.00
 7Peanuts_i         41    186    800      4      1  5000.00
 7Potatoes          42    186    800      4      1  5000.00
 7Potatoes_         43    186    800      4      1  5000.00
 7Rice              44    186    800      4      1  5000.00
 7Rice_ir           45    186    800      4      1  5000.00
 7Rye               46    186    800      4      1  5000.00
 7Rye_ir            47    186    800      4      1  5000.00
 7SorghumGr         48    186    800      4      1  5000.00
 7SorghumGrr        49    186    800      4      1  5000.00
 7SorghumSi         50    186    800      4      1  5000.00
 7SorghumSiir       51    186    800      4      1  5000.00
 7Soybeans          52    186    800      4      1  5000.00
 7Soybeans_         53    186    800      4      1  5000.00
 7Wheat_Spr         54    186    800      4      1  5000.00
 7Wheat_Sprr        55    186    800      4      1  5000.00
 7Wheat_Win         56    186    800      4      1  5000.00
 7Wheat_Winr        57    186    800      4      1  5000.00
 7Other_Cro         58    186    800      4      1  5000.00
 7Other_Cro         59    186    800      4      1  5000.00
 7Canola            60    186    800      4      1  5000.00
 7Canola_ir         61    186    800      4      1  5000.00
 7Peas              62    186    800      4      1  5000.00
 7Peas_ir           63    186    800      4      1  5000.00
 8Hay               22    186    800      4      1  5000.00
 8Hay_ir            23    186    800      4      1  5000.00
 8Alfalfa           24    186    800      4      1  5000.00
 8Alfalfa_i         25    186    800      4      1  5000.00
 8Other_gra         26    186    800      4      1  5000.00
 8Other_gra         27    186    800      4      1  5000.00
 8Barley            28    186    800      4      1  5000.00
 8Barley_ir         29    186    800      4      1  5000.00
 8BeansEdib         30    186    800      4      1  5000.00
 8BeansEdib         31    186    800      4      1  5000.00
 8CornGrain         32    186    800      4      1  5000.00
 8CornGrain         33    186    800      4      1  5000.00
 8CornSilag         34    186    800      4      1  5000.00
 8CornSilag         35    186    800      4      1  5000.00
 8Cotton            36    186    800      4      1  5000.00
 8Cotton_ir         37    186    800      4      1  5000.00
 8Oats              38    186    800      4      1  5000.00
 8Oats_ir           39    186    800      4      1  5000.00
 8Peanuts           40    186    800      4      1  5000.00
 8Peanuts_i         41    186    800      4      1  5000.00
 8Potatoes          42    186    800      4      1  5000.00
 8Potatoes_         43    186    800      4      1  5000.00
